Image index,image loading time,image preprocessing time,network inference time,image processing time,image overall time
0,0.057676076889038086,0.004876375198364258,0.006148099899291992,0.011102676391601562,0.06915044784545898
1,0.01076364517211914,0.003571033477783203,0.005468606948852539,0.009114980697631836,0.020214557647705078
2,0.01046442985534668,0.003219127655029297,0.0055599212646484375,0.008853912353515625,0.019678831100463867
3,0.01048898696899414,0.0029425621032714844,0.005427122116088867,0.008445501327514648,0.019290447235107422
4,0.010570287704467773,0.0030488967895507812,0.005397796630859375,0.008522510528564453,0.019446134567260742
5,0.010489940643310547,0.003029346466064453,0.005464076995849609,0.008568525314331055,0.01941394805908203
6,0.010488510131835938,0.0030069351196289062,0.005392551422119141,0.00847625732421875,0.019318819046020508
7,0.010506391525268555,0.0028641223907470703,0.0055425167083740234,0.008481502532958984,0.0193479061126709
8,0.010950803756713867,0.002864837646484375,0.0055389404296875,0.00847935676574707,0.019787311553955078
9,0.010491371154785156,0.0030069351196289062,0.005523204803466797,0.008605003356933594,0.019446134567260742
10,0.010459184646606445,0.0029723644256591797,0.0053861141204833984,0.008434295654296875,0.0192568302154541
11,0.010533571243286133,0.002956867218017578,0.005390167236328125,0.008421659469604492,0.019314050674438477
12,0.010603904724121094,0.002948760986328125,0.005372047424316406,0.008395910263061523,0.01935267448425293
13,0.010742425918579102,0.002948284149169922,0.0057523250579833984,0.008775472640991211,0.019868850708007812
14,0.010613441467285156,0.0029349327087402344,0.005392551422119141,0.008405447006225586,0.019372224807739258
15,0.01057577133178711,0.0028679370880126953,0.00552821159362793,0.008470535278320312,0.019408464431762695
16,0.010422468185424805,0.0029349327087402344,0.005501985549926758,0.00851130485534668,0.01928424835205078
17,0.010457754135131836,0.003017902374267578,0.005407571792602539,0.008501768112182617,0.019315004348754883
18,0.010582685470581055,0.0029671192169189453,0.005399227142333984,0.008440256118774414,0.019373416900634766
19,0.010599613189697266,0.002924203872680664,0.00563812255859375,0.008636713027954102,0.019588232040405273
20,0.010561704635620117,0.0029363632202148438,0.005418300628662109,0.008429527282714844,0.01934194564819336
21,0.010503292083740234,0.0028657913208007812,0.005567073822021484,0.008509159088134766,0.019351959228515625
22,0.01042795181274414,0.002880096435546875,0.005435943603515625,0.008390426635742188,0.019234895706176758
23,0.010412454605102539,0.002950906753540039,0.005365610122680664,0.008391618728637695,0.019159555435180664
24,0.01058053970336914,0.0029730796813964844,0.005388021469116211,0.008437156677246094,0.019372224807739258
25,0.010959148406982422,0.002949953079223633,0.005427837371826172,0.008453369140625,0.019768238067626953
26,0.010515451431274414,0.002961874008178711,0.005389213562011719,0.008427619934082031,0.019289493560791016
27,0.010677814483642578,0.0029997825622558594,0.005396604537963867,0.00847315788269043,0.019505739212036133
28,0.010577917098999023,0.0028781890869140625,0.0055348873138427734,0.00848698616027832,0.01942896842956543
29,0.010567903518676758,0.002912282943725586,0.0055010318756103516,0.008489131927490234,0.01945662498474121
30,0.010417699813842773,0.002966165542602539,0.005387783050537109,0.00854635238647461,0.019316911697387695
